Part,Description,Quantity,Manufacturer,Part Number,Datasheet,Price (EGP),Total Price (EGP)
Arduino Uno,"Arduino Uno Rev3",1,Arduino,"A000066",https://store.arduino.cc/usa/documents/Arduino_Uno_Rev3_schematics.pdf,450.00,450.00
LDR,"4 pin LDR module optical sensor",1,ADIY,N/A,https://www.rajguruelectronics.com/Product/8749/A87493_LDR%20Module_Datasheet.pdf,45.00,45.00
Resistor,"330 Ohm, 0.25W",1,N/A,N/A,N/A,1.00,1.00
LM35,"tempreture sensor",1,N/A,N/A,https://www.ti.com/lit/ds/symlink/lm35.pdf?ts=1762764217265&ref_url=https%253A%252F%252Fwww.google.com%252F,40.00,40.00
Jumper Wires,"Male-to-Male",11,N/A,N/A,N/A,1.00,11.00
LCD keypad sheild,"arduino LCD keypad sheild - 2x16 ",1,N/A,DFR0009,https://media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0009_Web.pdf,300.00,300.00
Buzzer,"5v active Buzzer",1,N/A,N/A,https://components101.com/misc/buzzer-pinout-working-datasheet,10.00,10.000
Breadboard,"Mini Breadboard, 170 Point",1,SparkFun Electronics,"PRT-12043","N/A",35.00,35.00
LED,"Red LED, Long Pin 5mm",1,kingbright,"WP7113ID",https://www.kingbrightusa.com/images/catalog/spec/wp7113id.pdf,1.00,1.00
